11,"{""1"": [[1168.5237222247417, 401.27528926473326], [1184.5192607967049, 397.2764046217425], [1180.520376153714, 381.2808660497792], [1168.5237222247417, 307.30150015444923], [1156.5270682957694, 323.29703872641244], [1066.552163828476, 315.29926944043086], [1066.552163828476, 307.30150015444923], [1122.5365488303473, 477.2540974815587], [1122.5365488303473, 469.25632819557705], [1226.5075495481083, 547.2345787338979], [1244.5025304415672, 551.2334633768887], [806.6246620340733, 411.2725008722103], [804.6252197125779, 405.2741739077241], [990.5733556116506, 565.2295596273566], [976.5772593611828, 589.2228674853013], [852.6118354284677, 685.1960989170809], [928.5906436452931, 855.1486962441902]], ""2"": [[571.7287312207843, 60.18645534372759], [571.7287312207843, -34.77006360612475], [571.7287312207843, -34.77006360612475], [571.7287312207843, -34.77006360612475], [527.4156890441865, -34.77006360612475], [351.3145084462785, -34.77006360612475], [571.7287312207843, -34.77006360612475], [351.3145084462785, 13.571436950163715], [492.8860457896947, -34.77006360612475], [381.24019926683803, 34.8647169571003], [351.3145084462785, 17.59989532985442], [431.8836760400926, 9.54297857047301], [493.46153984393624, 10.693966678956066], [392.1745862974271, 95.29159265246088], [495.18802200666084, 147.08605753419852], [399.08051494832546, 259.3073981112967], [505.5469149830084, 259.3073981112967]]}"
12,"{""1"": [[1171.499165221776, 399.34231712499786], [1189.2990806065218, 399.34231712499786], [1183.3657754782735, 379.56463336416914], [1177.4324703500247, 312.32050857735146], [1157.654786589196, 320.231582081683], [1068.6552096654666, 318.2538137056001], [1066.6774412893838, 308.36497182518576], [1126.01049257187, 472.51974704006415], [1124.032724195787, 470.54197866398124], [1226.8766797520966, 543.7194085790475], [1244.6765951368425, 551.630482083379], [843.1896147920193, 415.16446413366083], [801.656478894279, 403.2978538771636], [1007.3443900068977, 537.7861034507989], [942.0780335961629, 614.919070118031], [866.9228353050138, 666.3410478961855], [910.4337395788369, 872.0289590088043]], ""2"": [[560.2174725473, 66.8863702101649], [560.2174725473, -28.518428928442916], [560.2174725473, 107.14388660969306], [560.2174725473, -28.518428928442916], [519.9599561477718, -28.518428928442916], [560.2174725473, -28.518428928442916], [477.4965484386805, -28.518428928442916], [393.12120584788863, -28.518428928442916], [484.1142223673701, -28.518428928442916], [390.9153145383254, 45.37892994192383], [396.4300428122334, 22.21707119151037], [421.2463200448192, 12.842033125866834], [479.15096692085285, 13.944978780648427], [394.22415150267017, 144.64403887226723], [487.9745321591056, 147.4014030092212], [415.7315917709113, 253.28418586825416], [502.86429849865715, 253.28418586825416]]}"
13,"{""1"": [[1171.6559522173607, 399.7951436797751], [1189.6535286469607, 399.7951436797751], [1185.6540672181607, 379.79783653577493], [1181.6546057893606, 313.8067229605743], [1159.6575679309603, 319.8059151037744], [1071.6694164973596, 311.8069922461743], [1069.6696857829595, 303.8080693885742], [1127.66187650056, 467.78598796937575], [1121.6626843573601, 469.78571868377577], [1227.648412220561, 543.7757551165764], [1243.6462579357612, 549.7749472597766], [851.6990379133575, 419.7924508237753], [799.706039338957, 403.7946051085751], [1017.6766872085591, 523.7784479725763], [923.6893436317582, 623.7649836925773], [879.6952679149578, 639.7628294077774], [891.693652201358, 885.7297072789797]], ""2"": [[344.16756585301647, 64.88347363519613], [555.0301299014501, -28.16032094492209], [555.0301299014501, 122.69174837432283], [344.16756585301647, 54.973483679917265], [509.8846201051797, -28.16032094492209], [435.5596954405882, 8.726863888615902], [471.34577027909523, 13.681858866255332], [392.0658506368643, 6.524643898553933], [478.5029852467966, -28.16032094492209], [383.25697067661645, 37.906278756937], [388.2119656542559, 25.24351381408067], [418.49249051760796, 18.636853843894762], [474.09854526667266, 18.08629884637927], [390.9647406418333, 124.3434133668693], [479.6040952418276, 145.26450327245803], [384.9086356691629, 253.1732827854945], [498.8735201548699, 253.1732827854945]]}"
14,"{""1"": [[1171.9412966666557, 397.34362600447713], [1190.0619725418328, 395.3302175739019], [1186.0351556806822, 377.209541698725], [1179.9949303889566, 326.8743309343446], [1159.8608460832045, 318.8206972120437], [1073.28428356847, 308.7536550591676], [1069.2574667073197, 302.71342976744194], [1127.646311194001, 463.7861042134593], [1121.6060859022755, 467.81292107460973], [1232.3435495839121, 544.3224414364679], [1246.4374085979389, 552.3760751587688], [861.8763983580724, 421.5045271713797], [801.4741454408158, 405.39725972677803], [1028.9892980958152, 512.1079065472645], [912.2116091224527, 634.9258208123528], [886.037299524975, 620.8319617983262], [865.9032152192228, 896.6689167871309]]}"
15,"{""1"": [[1171.4975455673944, 398.47619254097714], [1191.6194389347718, 392.4396245307639], [1187.5950602612963, 376.342109836862], [1175.5219242408698, 320.00080840820533], [1163.4487882204435, 320.00080840820533], [1074.912457403983, 313.96424039799217], [1070.8880787305075, 297.86672570409024], [1125.2171908224263, 462.86625131658474], [1121.192812148951, 464.8784406533225], [1227.838846996051, 547.3782034595697], [1245.948551026691, 549.3903927963074], [859.6081983730451, 422.62246458183], [803.2668969443885, 406.5249498879281], [1030.6442919957528, 505.12222738807725], [913.937310464964, 633.9023449392924], [895.8276064343243, 674.1461316740472], [829.425358321979, 881.4016333580342]], ""3"": [[526.6745515802952, 123.83395862273949], [536.0616756331236, 114.82231953202417], [523.8584143644466, 113.88360712674131], [562.5333654620999, 128.52752064915373], [520.8545346675415, 128.90300561126688], [577.740506427682, 165.70053189835448], [505.83513618301595, 165.70053189835448], [577.740506427682, 105.62293796025227], [505.83513618301595, 165.70053189835448], [577.740506427682, 165.70053189835448], [522.5442169970506, 107.68810525187453], [577.740506427682, 165.70053189835448], [577.740506427682, 165.70053189835448], [577.740506427682, 128.7152631302103], [536.2494181141802, 97.92549623693291], [539.6287827731984, 165.70053189835448], [528.3642339098043, 165.70053189835448]], ""4"": [[524.054700153316, 127.20328097886333], [534.2849342724782, 118.04991360908672], [520.2856665304669, 119.66521373316495], [560.1297362577297, 126.66484760417059], [518.1319330316959, 128.81858110294155], [588.1282717417523, 166.50891733143345], [510.05543241130476, 172.4316844530536], [641.9716092110264, 181.04661844813748], [490.1333975476733, 186.4309521950649], [642.5100425857191, 185.89251882037215], [634.433541965328, 186.4309521950649], [578.4364709972829, 256.4272909051213], [524.054700153316, 254.27355740635033], [641.4331758363337, 293.0407603842277], [490.1333975476733, 293.0407603842277], [638.74100896287, 293.0407603842277], [643.0484759604119, 293.0407603842277]]}"
16,"{""1"": [[1170.8939067559677, 397.5947254554683], [1189.0473000859984, 395.5776817521316], [1182.996168975988, 377.42428842210114], [1176.945037865978, 320.947064728673], [1160.808688239284, 318.93002102533626], [1072.0587652924687, 310.8618462119894], [1070.0417215891318, 296.7425402886324], [1126.51894528256, 462.1401239622433], [1120.4678141725499, 464.15716766558], [1223.3370430427226, 542.821872095712], [1245.5245237794263, 548.8730032057222], [862.2862201454499, 419.7822061921722], [799.7578653420117, 403.6458565654785], [1027.6838038190608, 508.53212913898784], [924.8145749488881, 623.5036202291808], [910.6952690255312, 704.1853683626495], [811.860127562032, 853.4466024095667]], ""3"": [[526.4323999780017, 122.50294161315725], [535.8678675918228, 113.437492337133], [524.0272807823218, 112.69745566153917], [560.4740870553172, 125.4630883155325], [519.7720698976574, 125.27807914663404], [578.6049856073657, 163.0199496019187], [507.7464739192578, 163.0199496019187], [578.6049856073657, 104.00202472331182], [507.7464739192578, 163.0199496019187], [578.6049856073657, 105.297088905601], [523.1022349378295, 105.48209807449945], [578.6049856073657, 163.0199496019187], [507.7464739192578, 163.0199496019187], [578.6049856073657, 126.57314332892324], [532.7227117205491, 95.49160295398293], [578.6049856073657, 163.0199496019187], [529.02252834258, 163.0199496019187]], ""4"": [[525.0093997656687, 125.51605582226458], [535.0362136614477, 116.01696897363183], [521.3153104356448, 118.12787716221689], [559.8393848773221, 123.40514763367952], [519.7321292942061, 127.62696401084963], [586.7534642817816, 160.87376798106428], [512.3439506341583, 167.7342195939657], [644.8034394678706, 177.23330644259843], [494.9289580783316, 183.03830396120736], [645.3311665150169, 183.5660310083536], [637.9429878549691, 184.09375805549988], [578.8375585745875, 246.8932766659053], [525.5371268128149, 247.42100371305156], [643.2202583264318, 288.58371339046016], [494.9289580783316, 288.58371339046016], [642.6925312792855, 185.14921214979242], [644.8034394678706, 188.84330147981626]]}"
17,"{""1"": [[1171.6526037042408, 395.23071951392205], [1189.891048458227, 393.20422565236805], [1183.811566873565, 374.96578089838204], [1177.732085288903, 316.197458913316], [1161.520134396471, 316.197458913316], [1074.3808983496488, 310.117977328654], [1070.3279106265409, 299.98550802088397], [1127.069738750053, 466.1580046683122], [1120.9902571653909, 464.1315108067582], [1230.420925689307, 543.1647714073642], [1248.659370443293, 549.2442529920263], [859.5725490249246, 423.6016335756781], [798.7777331783045, 405.36318882169206], [1017.6390702261367, 512.7673634840542], [934.5528219024227, 616.1185504233083], [940.6323034870848, 731.6287005318865], [792.6982515936425, 820.7944304402625]], ""3"": [[522.1484573887946, 123.12471319540933], [534.0453317778977, 114.9334226324203], [521.7583959334141, 115.12845336011051], [559.789387833006, 123.70980537847998], [520.0031193842021, 124.29489756155061], [580.657675695859, 165.25135037649574], [505.9609069905067, 165.25135037649574], [580.657675695859, 105.96200915867043], [505.9609069905067, 123.9048361061702], [551.0130050869464, 99.91605660027376], [522.538518844175, 104.79182479252913], [580.657675695859, 165.25135037649574], [505.9609069905067, 165.25135037649574], [580.657675695859, 125.46508192769191], [538.7260692424628, 124.87998974462127], [526.8291948533597, 165.25135037649574], [528.1944099471912, 165.25135037649574]], ""4"": [[522.5118925717475, 126.7173361894151], [532.1296457622558, 118.16822224229655], [520.3746140849678, 119.23686148568636], [559.914266090391, 123.51141845924565], [520.3746140849678, 126.7173361894151], [586.0959275534417, 163.05107046466895], [509.6882216510696, 166.7913078165333], [647.0083644266613, 177.4777002504315], [494.19295262191724, 178.01201987212642], [644.8710859398817, 181.75225722399077], [640.0622093446275, 181.21793760229585], [575.9438547412384, 244.2676529622952], [521.9775729500525, 245.336292205685], [642.733807453102, 191.37001041449915], [494.19295262191724, 188.69841230602458], [642.1994878314072, 185.49249457585515], [646.4740448049664, 188.69841230602458]]}"
18,"{""1"": [[1174.7619417494043, 397.3284181418049], [1192.8970449718531, 395.3134066726439], [1184.8369990952092, 377.1783034501951], [1182.8219876260482, 336.8780740669755], [1160.6568614652774, 320.75798231368765], [1074.0113682913552, 322.77299378284863], [1069.9813453530332, 300.60786762207783], [1128.4166779587017, 477.92887690824404], [1122.3716435512188, 465.8388080932782], [1229.1672514167508, 542.4092439213954], [1245.2873431700386, 548.4542783288783], [850.3450952144865, 417.47853283341465], [797.9547970163011, 399.34342961096587], [1011.5460127473649, 538.3792209830735], [963.1857374875015, 592.7845306504199], [943.0356227958916, 778.16558581323], [791.9097626088181, 786.2256316898739]], ""3"": [[521.8958537488292, 123.94091514421382], [533.3038700677104, 115.04652953966239], [521.50914133124, 114.4664609132786], [559.9870268813647, 124.9076961881868], [520.1556478696779, 125.1010523969814], [580.482785013592, 165.31914382625746], [506.4273570452615, 165.31914382625746], [580.482785013592, 104.79865047354878], [506.4273570452615, 165.31914382625746], [580.482785013592, 103.0584445943974], [524.0227720455698, 104.99200668234337], [580.482785013592, 165.31914382625746], [506.4273570452615, 165.31914382625746], [548.9657229800728, 127.61468311131117], [538.9112001227537, 165.31914382625746], [526.9231151774887, 165.31914382625746], [528.6633210566401, 165.31914382625746]], ""4"": [[522.7966302870924, 127.3897316276449], [532.4611499797688, 118.79904745637697], [520.1120414835711, 120.40980073848971], [559.8439557756853, 124.16822506341943], [519.5751237228669, 127.3897316276449], [588.3005970930104, 164.43705711623787], [510.98443955159894, 168.1954814411676], [646.2877152490689, 178.39691889454826], [493.8030712090631, 179.47075441595678], [645.7507974883647, 182.155343219478], [639.3077843599137, 182.155343219478], [577.0253241182212, 245.51163898257903], [522.7966302870924, 247.12239226469177], [642.5292909241392, 193.43061619426717], [493.8030712090631, 289.5388953603272], [641.4554554027308, 188.0614385872247], [646.2877152490689, 189.67219186933744]]}"
19,"{""1"": [[1174.5905500162817, 399.64543448555327], [1192.721496714957, 391.5872359528086], [1186.6778478153988, 379.4999381536916], [1172.5760003830956, 319.06344915810644], [1162.5032522171646, 317.0488995249203], [1071.848518723787, 321.0779987912926], [1071.848518723787, 296.9034031930585], [1122.212259553441, 472.16922128025544], [1120.197709920255, 462.0964731143246], [1222.9397412127498, 548.72210734133], [1249.12888644417, 548.72210734133], [797.8697686104676, 411.7327322846703], [803.9134175100261, 395.61633521918094], [977.1646859640368, 601.1003978041705], [991.26653339634, 570.8821533063779], [940.9027925666858, 808.5990100223461], [797.8697686104676, 748.1625210267609]], ""3"": [[522.1287952061816, 123.38232826155014], [529.5602995311925, 115.51367662330333], [519.724484983384, 116.38797124977519], [559.286316831236, 124.69377020125793], [518.6316167002941, 126.00521214096574], [580.9251088364148, 172.77997465721072], [510.76296506204733, 172.77997465721072], [580.9251088364148, 107.42645132843853], [497.21139835173335, 131.90670086965085], [580.9251088364148, 107.86359864167449], [520.5987796098558, 107.64502498505651], [580.9251088364148, 172.77997465721072], [497.21139835173335, 172.77997465721072], [580.9251088364148, 132.3438481828868], [497.21139835173335, 129.7209643034712], [580.9251088364148, 172.77997465721072], [525.1888263988332, 172.77997465721072]], ""4"": [[522.0310609883509, 127.62840397072775], [532.049855572694, 119.27940848377514], [519.8046621918302, 119.83600818290532], [558.2100414318122, 125.40200517420705], [518.1348630944397, 128.74160336898808], [582.1438284944096, 164.3639841133192], [509.22926790835686, 168.2601820072304], [645.0395944961192, 179.39217598983387], [589.936224282232, 178.83557629070373], [644.482994796989, 182.73177418461492], [638.3603981065571, 182.17517448548475], [574.9080324057173, 243.40114138980385], [520.3612618909603, 246.18413988545473], [642.8131956995985, 193.8637681672184], [699.5863650108763, 191.08076967156754], [642.8131956995985, 186.07137237939597], [642.8131956995985, 187.7411714767865]]}"
20,"{""1"": [[1172.2969555168736, 403.12633371871704], [1192.1490618956204, 391.21506989146906], [1188.178640619871, 379.303806064221], [1162.3709023275005, 317.76227629010634], [1162.3709023275005, 317.76227629010634], [1071.0512129852657, 319.747486927981], [1071.0512129852657, 295.924959273485], [1124.6519002078817, 468.63828476858106], [1120.6814789321324, 462.68265285495704], [1227.8828533773644, 544.0762890078183], [1249.7201703939857, 550.0319209214424], [810.9886194236843, 415.03759754596507], [805.0329875100604, 391.21506989146906], [943.997732161287, 609.5882400576825], [1001.5688406596523, 554.0023421971916], [926.130836420415, 835.9022527753943], [807.018198147935, 700.9079293999171]], ""3"": [[521.3567751286765, 123.57208131436713], [529.7675274632078, 116.02397024491603], [519.6314925985163, 116.67095119372613], [558.450349527122, 124.21906226317722], [518.5531910171661, 124.43472257944725], [580.8790224192053, 171.01735089377402], [498.2811212877832, 171.01735089377402], [580.8790224192053, 104.80963379887439], [498.2811212877832, 131.55151301635829], [547.4516733973503, 105.67227506395452], [520.7097941798664, 106.96623696157471], [580.8790224192053, 171.01735089377402], [498.2811212877832, 171.01735089377402], [580.8790224192053, 171.01735089377402], [498.2811212877832, 171.01735089377402], [518.9845116497062, 171.01735089377402], [523.0820576588368, 171.01735089377402]], ""4"": [[521.2441598978353, 124.25841055494219], [531.3893975840659, 115.80404581641668], [518.4260383183268, 116.36767013231838], [557.3161161155441, 123.6947862390405], [515.6079167388183, 125.94928350264729], [584.9337075947275, 162.58486403625784], [510.53529789570297, 167.65748287937313], [645.8051337121111, 178.92996919740716], [484.04495504832306, 180.05721782921054], [644.114260764406, 182.31171509281737], [635.0962717099787, 182.87533940871904], [577.0429671721037, 246.00126278970953], [522.3714085296388, 247.1285114215129], [642.4233878167009, 194.71145004265477], [699.9130680386744, 295.6002025890592], [639.6052662371924, 186.82070962003095], [642.9870121326026, 190.20245551544116]]}"
